Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	44.3
Elapsed Live Time:	22.79
Start Time:	February 18, 2016, 01:46:48
End Time:	February 18, 2016, 01:47:32
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
1139		0
1140		1
1141		0
1142		2
1143		0
1144		0
1145		2
1146		0
1147		2
1148		0
1149		1
1150		2
1151		1
1152		0
1153		1
1154		0
1155		0
1156		2
1157		1
1158		0
1159		0
1160		0
1161		1
1162		2
1163		0
1164		1
1165		0
1166		0
1167		0
1168		0
1169		1
1170		0
1171		1
1172		0
1173		1
1174		2
1175		0
1176		2
1177		1
1178		0
1179		0
1180		0
1181		1
1182		2
1183		1
1184		0
1185		0
1186		0
1187		0
1188		2
1189		0
1190		0
1191		3
1192		0
1193		0
1194		0
1195		0
1196		1
1197		1
1198		0
1199		1
1200		0
1201		0
1202		0
1203		0
1204		1
1205		2
1206		0
1207		2
1208		0
1209		1
1210		0
1211		1
1212		0
1213		1
1214		2
1215		1
1216		0
1217		0
1218		1
1219		0
1220		2
1221		0
1222		0
1223		0
1224		0
1225		0
1226		0
1227		0
1228		1
1229		1
1230		0
1231		1
1232		0
1233		0
1234		1
1235		0
1236		0
1237		1
1238		0
1239		1
1240		0
1241		0
1242		0
1243		3
1244		0
1245		0
1246		2
1247		0
1248		0
1249		0
1250		0
1251		0
1252		0
1253		0
1254		0
1255		0
1256		2
1257		0
1258		0
1259		0
1260		0
1261		0
1262		0
1263		0
1264		1
1265		0
1266		3
1267		1
1268		0
1269		1
1270		0
1271		0
1272		0
1273		1
1274		0
1275		0
1276		0
1277		1
1278		1
1279		0
1280		0
1281		0
1282		0
1283		0
1284		0
1285		1
1286		0
1287		1
1288		0
1289		0
1290		0
1291		0
1292		0
1293		1
1294		1
1295		0
1296		0
1297		1
1298		0
1299		0
1300		0
1301		0
1302		1
1303		0
1304		0
1305		1
1306		1
1307		0
1308		0
1309		0
1310		0
1311		1
1312		0
1313		0
1314		2
1315		0
1316		0
1317		1
1318		1
1319		0
1320		0
1321		0
1322		0
1323		0
1324		0
1325		0
1326		0
1327		0
1328		0
1329		0
1330		0
1331		1
1332		0
1333		1
1334		0
1335		0
1336		1
1337		0
1338		0
1339		0
1340		0
1341		1
1342		0
1343		0
1344		0
1345		0
1346		0
1347		0
1348		0
1349		1
1350		0
1351		0
1352		0
1353		0
1354		1
1355		0
1356		0
1357		0
1358		0
1359		0
1360		1
1361		0
1362		0
1363		0
1364		1
1365		0
1366		0
1367		0
1368		0
1369		1
1370		0
1371		0
1372		0
1373		0
1374		0
1375		0
1376		0
1377		0
1378		0
1379		0
1380		0
1381		0
1382		0
1383		0
1384		0
1385		0
1386		0
1387		0
1388		0
1389		1
1390		0
1391		0
1392		0
1393		0
1394		0
1395		1
1396		0
1397		0
1398		1
1399		0
1400		0
1401		1
1402		0
1403		0
1404		1
1405		1
1406		0
1407		1
1408		0
1409		0
1410		1
1411		0
1412		1
1413		0
1414		0
1415		0
1416		0
1417		1
1418		2
1419		1
1420		0
1421		1
1422		1
1423		1
1424		0
1425		0
1426		1
1427		0
1428		1
1429		0
1430		0
1431		0
1432		0
1433		0
1434		0
1435		0
1436		0
1437		1
1438		0
1439		0
1440		0
1441		0
1442		0
1443		0
1444		0
1445		0
1446		0
1447		0
1448		0
1449		1
1450		0
1451		0
1452		1
1453		0
1454		0
1455		1
1456		0
1457		0
1458		0
1459		0
1460		0
1461		0
1462		0
1463		0
1464		0
1465		1
1466		0
1467		0
1468		0
1469		0
1470		0
1471		0
1472		0
1473		0
1474		1
1475		0
1476		1
1477		0
1478		0
1479		0
1480		0
1481		0
1482		1
1483		0
1484		1
1485		0
1486		0
1487		1
1488		0
1489		0
1490		0
1491		0
1492		0
1493		0
1494		0
1495		0
1496		1
1497		0
1498		0
1499		0
1500		2
1501		0
1502		0
1503		0
1504		0
1505		0
1506		1
1507		0
1508		0
1509		1
1510		0
1511		0
1512		0
1513		0
1514		0
1515		0
1516		0
1517		1
1518		0
1519		0
1520		1
1521		0
1522		0
1523		0
1524		0
1525		1
1526		0
1527		0
1528		0
1529		0
1530		0
1531		0
1532		0
1533		1
1534		0
1535		1
1536		0
1537		1
1538		0
1539		0
1540		0
1541		0
1542		1
1543		0
1544		0
1545		0
1546		1
1547		0
1548		0
1549		0
1550		0
1551		0
1552		0
1553		0
1554		0
1555		0
1556		0
1557		0
1558		0
1559		1
1560		0
1561		0
1562		0
1563		0
1564		0
1565		0
1566		0
1567		0
1568		0
1569		0
1570		0
1571		0
1572		0
1573		0
1574		0
1575		1
1576		0
1577		0
1578		0
1579		0
1580		0
1581		0
1582		0
1583		0
1584		0
1585		0
1586		0
1587		0
1588		0
1589		0
1590		0
1591		2
1592		0
1593		0
1594		0
1595		0
1596		0
1597		0
1598		1
1599		0
1600		0
1601		0
1602		0
1603		0
1604		0
1605		0
1606		0
1607		2
1608		0
1609		0
1610		0
1611		0
1612		0
1613		0
1614		0
1615		1
1616		0
1617		0
1618		1
1619		0
1620		0
1621		0
1622		0
1623		1
1624		0
1625		0
1626		0
1627		1
1628		0
1629		0
1630		0
1631		0
1632		0
1633		0
1634		0
1635		0
1636		0
1637		0
1638		1
1639		0
1640		0
1641		0
1642		1
1643		0
1644		1
1645		1
1646		0
1647		1
1648		0
1649		0
1650		0
1651		1
1652		0
1653		0
1654		0
1655		0
1656		0
1657		0
1658		0
1659		0
1660		0
1661		2
1662		0
1663		0
1664		0
1665		1
1666		0
1667		0
1668		0
1669		0
1670		0
1671		1
1672		0
1673		0
1674		0
1675		0
1676		0
1677		0
1678		1
1679		1
1680		0
1681		0
1682		0
1683		1
1684		0
1685		1
1686		1
1687		0
1688		0
1689		0
1690		1
1691		1
1692		0
1693		0
1694		0
1695		0
1696		0
1697		0
1698		0
1699		0
1700		0
1701		0
1702		0
1703		0
1704		1
1705		0
1706		0
1707		0
1708		0
1709		0
1710		0
1711		1
1712		0
1713		0
1714		0
1715		1
1716		0
1717		0
1718		0
1719		0
1720		0
1721		0
1722		0
1723		0
1724		0
1725		0
1726		0
1727		0
1728		0
1729		0
1730		0
1731		1
1732		1
1733		0
1734		0
1735		1
1736		0
1737		0
1738		0
1739		0
1740		0
1741		0
1742		0
1743		1
1744		0
1745		0
1746		0
1747		0
1748		0
1749		1
1750		0
1751		1
1752		0
1753		0
1754		0
1755		0
1756		1
1757		0
1758		0
1759		0
1760		0
1761		0
1762		0
1763		0
1764		0
1765		0
1766		1
1767		0
1768		0
1769		0
1770		0
1771		0
1772		0
1773		0
1774		0
1775		0
1776		0
1777		0
1778		0
1779		0
1780		0
1781		0
1782		1
1783		0
1784		0
1785		0
1786		0
1787		0
1788		1
1789		0
1790		0
1791		0
1792		0
1793		0
1794		0
1795		0
1796		0
1797		0
1798		1
1799		0
1800		0
1801		0
1802		0
1803		0
1804		0
1805		0
1806		0
1807		0
1808		0
1809		1
1810		0
1811		0
1812		0
1813		1
1814		0
1815		0
1816		0
1817		0
1818		0
1819		0
1820		0
1821		0
1822		0
1823		0
1824		0
1825		0
1826		0
1827		0
1828		0
1829		0
1830		0
1831		0
1832		1
1833		1
1834		0
1835		1
1836		0
1837		0
1838		0
1839		1
1840		0
1841		0
1842		1
1843		0
1844		0
1845		0
1846		0
1847		0
1848		0
1849		0
1850		0
1851		0
1852		0
1853		0
1854		0
1855		0
1856		0
1857		0
1858		0
1859		2
1860		0
1861		0
1862		0
1863		0
1864		0
1865		0
1866		0
1867		0
1868		0
1869		0
1870		0
1871		0
1872		0
1873		0
1874		0
1875		0
1876		0
1877		0
1878		0
1879		0
1880		0
1881		0
1882		0
1883		1
1884		1
1885		0
1886		0
1887		0
1888		0
1889		0
1890		0
1891		1
1892		0
1893		0
1894		0
1895		0
1896		0
1897		0
1898		0
1899		0
1900		0
1901		1
1902		1
1903		0
1904		0
1905		0
1906		1
1907		0
1908		0
1909		1
1910		0
1911		0
1912		0
1913		0
1914		0
1915		0
1916		1
1917		2
1918		0
1919		0
1920		0
1921		0
1922		2
1923		1
1924		0
1925		0
1926		0
1927		1
1928		0
1929		0
1930		0
1931		0
1932		0
1933		0
1934		0
1935		0
1936		0
1937		0
1938		1
1939		0
1940		0
1941		0
1942		0
1943		0
1944		0
1945		0
1946		1
1947		1
1948		0
1949		0
1950		0
1951		1
1952		0
1953		0
1954		0
1955		0
1956		0
1957		0
1958		0
1959		0
1960		0
1961		0
1962		2
1963		0
1964		0
1965		0
1966		0
1967		1
1968		1
1969		0
1970		0
1971		0
1972		0
1973		0
1974		0
1975		0
1976		1
1977		2
1978		0
1979		0
1980		0
1981		0
1982		0
1983		0
1984		2
1985		0
1986		0
1987		0
1988		0
1989		0
1990		1
1991		1
1992		0
1993		0
1994		0
1995		0
1996		0
1997		0
1998		0
1999		0
2000		0
2001		0
2002		0
2003		0
2004		0
2005		0
2006		0
2007		0
2008		0
2009		0
2010		0
2011		0
2012		0
2013		0
2014		0
2015		0
2016		0
2017		0
2018		1
2019		0
2020		0
2021		0
2022		0
2023		0
2024		0
2025		0
2026		0
2027		0
2028		0
2029		0
2030		0
2031		0
2032		0
2033		0
2034		0
2035		0
2036		0
2037		0
2038		0
2039		0
2040		0
2041		0
2042		0
2043		0
2044		0
2045		0
2046		0
2047		0
